('http://movie.mtime.com/201620/', '青春派')
('http://movie.mtime.com/218670/', '咱们结婚吧')
('http://movie.mtime.com/230647/', '建军大业')
('http://movie.mtime.com/16990/', '倚天屠龙记之魔教教主')
('http://movie.mtime.com/55024/', '大电影2.0之两个傻瓜的荒唐事')
('http://movie.mtime.com/45550/', '生日快乐')
('http://movie.mtime.com/207917/', '深夜前的五分钟')
('http://movie.mtime.com/126915/', '守望者：罪恶迷途')
('http://movie.mtime.com/225003/', '星际特工：千星之城')
('http://movie.mtime.com/225953/', '七月与安生')
('http://movie.mtime.com/44741/', '夜·上海')
('http://movie.mtime.com/230414/', '谎言大爆炸')
('http://movie.mtime.com/225754/', '追龙')
('http://movie.mtime.com/190464/', '我想和你好好的')
('http://movie.mtime.com/19357/', '一个陌生女人的来信')
('http://movie.mtime.com/11815/', '十七岁的单车')
('http://movie.mtime.com/16445/', '大事件')
('http://movie.mtime.com/45699/', '铁三角')
('http://movie.mtime.com/197596/', '摩登年代')
('http://movie.mtime.com/152641/', '饭局也疯狂')
('http://movie.mtime.com/22824/', '旋风小子')
('http://movie.mtime.com/130663/', '假装情侣')
('http://movie.mtime.com/223748/', '邪不压正')
('http://movie.mtime.com/10287/', '玻璃樽')
('http://movie.mtime.com/153027/', '车手')
('http://movie.mtime.com/199159/', '一个人的武林')
('http://movie.mtime.com/219801/', '攻壳机动队')
('http://movie.mtime.com/12357/', '寻枪')
('http://movie.mtime.com/233540/', '空天猎')
('http://movie.mtime.com/217896/', '功夫瑜伽')
('http://movie.mtime.com/32052/', '看上去很美')
('http://movie.mtime.com/233371/', '记忆大师')
('http://movie.mtime.com/132743/', '神奇')
('http://movie.mtime.com/136968/', '一场风花雪月的事')
('http://movie.mtime.com/215971/', '心迷宫')
('http://movie.mtime.com/173064/', '百鸟朝凤')
('http://movie.mtime.com/230237/', '微微一笑很倾城')
('http://movie.mtime.com/216992/', '夏有乔木 雅望天堂')
('http://movie.mtime.com/56265/', '我叫刘跃进')
('http://movie.mtime.com/226524/', '英伦对决')
('http://movie.mtime.com/182310/', '笔仙Ⅱ')
('http://movie.mtime.com/30463/', '心急吃不了热豆腐')
('http://movie.mtime.com/257529/', '爱情公寓')
('http://movie.mtime.com/206295/', '英雄之战')
('http://movie.mtime.com/79522/', '风云决')
('http://movie.mtime.com/131583/', '玩酷青春')
('http://movie.mtime.com/194542/', '回到爱开始的地方')
('http://movie.mtime.com/218501/', '爸爸去哪儿2')
('http://movie.mtime.com/128937/', '魁拔之十万火急')
('http://movie.mtime.com/237503/', '情圣')
('http://movie.mtime.com/221822/', '三人行')
('http://movie.mtime.com/74727/', '谍海风云')
('http://movie.mtime.com/139725/', '喜羊羊与灰太狼之兔年顶呱呱')
('http://movie.mtime.com/111575/', '好雨时节')
('http://movie.mtime.com/215174/', '洛克王国3：圣龙的守护')
('http://movie.mtime.com/161575/', '匹夫')
('http://movie.mtime.com/19973/', '新少林五祖')
('http://movie.mtime.com/199103/', '我爱灰太狼2')
('http://movie.mtime.com/226439/', '大话西游3')
('http://movie.mtime.com/85798/', '麦田')
('http://movie.mtime.com/203729/', '痞子英雄：黎明升起')
('http://movie.mtime.com/138700/', '隐婚男女')
('http://movie.mtime.com/169639/', '麦兜当当伴我心')
('http://movie.mtime.com/152704/', '新天生一对')
('http://movie.mtime.com/233631/', '心理罪')
('http://movie.mtime.com/10809/', '红河谷')
('http://movie.mtime.com/218890/', '山河故人')
('http://movie.mtime.com/46070/', '好奇害死猫')
('http://movie.mtime.com/229648/', '28岁未成年')
('http://movie.mtime.com/197840/', '天注定')
('http://movie.mtime.com/142950/', '转山')
('http://movie.mtime.com/208933/', '有种你爱我')
('http://movie.mtime.com/227554/', '追凶者也')
('http://movie.mtime.com/155918/', '神探亨特张')
('http://movie.mtime.com/44883/', '我们俩')
('http://movie.mtime.com/235288/', '杀破狼·贪狼')
('http://movie.mtime.com/160966/', '伤心童话')
('http://movie.mtime.com/228225/', '杜拉拉追婚记')
('http://movie.mtime.com/150032/', '车在囧途')
('http://movie.mtime.com/203782/', '笔仙III')
('http://movie.mtime.com/215630/', '谜城')
('http://movie.mtime.com/14387/', '玉观音')
('http://movie.mtime.com/144256/', '高海拔之恋Ⅱ')
('http://movie.mtime.com/224598/', '一路向前')
('http://movie.mtime.com/209488/', '玩命速递：重启之战')
('http://movie.mtime.com/150779/', '倾城之泪')
('http://movie.mtime.com/136204/', '李献计历险记')
('http://movie.mtime.com/70253/', '我十一')
('http://movie.mtime.com/241018/', '一出好戏')
('http://movie.mtime.com/13231/', '卡拉是条狗')
('http://movie.mtime.com/17968/', '新天龙八部之天山童姥')
('http://movie.mtime.com/11285/', '盲井')
('http://movie.mtime.com/221988/', '小门神')
('http://movie.mtime.com/216885/', '最后的巫师猎人')
('http://movie.mtime.com/58129/', '兄弟之生死同盟')
('http://movie.mtime.com/222353/', '不期而遇')
('http://movie.mtime.com/39337/', '再说一次我爱你')
('http://movie.mtime.com/225551/', '怦然星动')
('http://movie.mtime.com/34847/', '六指琴魔')
('http://movie.mtime.com/100256/', '荒村公寓')
('http://movie.mtime.com/11900/', '苏州河')
('http://movie.mtime.com/172430/', '秘密花园')
('http://movie.mtime.com/158906/', '第一次')
('http://movie.mtime.com/148028/', '幸福额度')
('http://movie.mtime.com/216443/', '3D食人虫')
('http://movie.mtime.com/11436/', '那山那人那狗')
('http://movie.mtime.com/75004/', '超强台风')
('http://movie.mtime.com/216573/', '我的特工爷爷')
('http://movie.mtime.com/188122/', '越来越好之村晚')
('http://movie.mtime.com/225568/', '赏金猎人')
('http://movie.mtime.com/102064/', '形影不离')
('http://movie.mtime.com/11226/', '绿茶')
('http://movie.mtime.com/58499/', '大胃王')
